source_concept,concept_namespace,entry_point,canonical_concept,status,rationale,reviewer
ProfitLoss,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,profit_loss,PROPOSED,Exact semantic match,DA-1/DA-3
ProfitLossAttributableToParentEntity,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,profit_loss_parent,PROPOSED,Exact semantic match,DA-1/DA-3
ProfitLossAttributableToNonControllingInterests,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,profit_loss_nci,PROPOSED,Exact semantic match,DA-1/DA-3
TemporarySyirkahFunds,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia,temporary_syirkah_funds,PROPOSED,Temporary syirkah funds required for financesharia ACC-001,DA-1/DA-3
ComprehensiveIncome,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,comprehensive_income,PROPOSED,Exact semantic match,DA-1/DA-3
ComprehensiveIncomeAttributableToParentEntity,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,comprehensive_income_parent,PROPOSED,Exact semantic match,DA-1/DA-3
BasicEarningsLossPerShareFromContinuingOperations,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,eps_basic_continuing,PROPOSED,Exact semantic match; unit must be per share,DA-1/DA-3
DilutedEarningsLossPerShareFromContinuingOperations,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,eps_diluted_continuing,PROPOSED,Exact semantic match; unit must be per share,DA-1/DA-3
CashAndCashEquivalents,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,cash_and_cash_equivalents,PROPOSED,Exact semantic match; instant undimensioned fact,DA-1/DA-3
TradeReceivablesThirdParties,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,trade_receivables_third_parties,PROPOSED,Exact semantic match; instant fact,DA-1/DA-3
OtherReceivablesThirdParties,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,other_receivables_third_parties,PROPOSED,Exact semantic match; instant fact,DA-1/DA-3
CurrentInventories,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,inventories,PROPOSED,Current inventory is mapped to inventory; scope retained,DA-1/DA-3
CurrentAssets,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,current_assets,PROPOSED,Exact semantic match,DA-1/DA-3
PropertyPlantAndEquipment,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,property_plant_equipment,PROPOSED,Exact semantic match,DA-1/DA-3
ExplorationAndEvaluationAssets,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,exploration_and_evaluation_assets,PROPOSED,Exact semantic match,DA-1/DA-3
MiningProperties,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,mining_properties,PROPOSED,Exact semantic match,DA-1/DA-3
Goodwill,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,goodwill,PROPOSED,Exact semantic match,DA-1/DA-3
IntangibleAssetsOtherThanGoodwill,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,other_intangible_assets,PROPOSED,Exact semantic match,DA-1/DA-3
InvestmentsInAssociates,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,investments_in_associates,PROPOSED,Exact semantic match,DA-1/DA-3
NonCurrentAssets,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,non_current_assets,PROPOSED,Exact semantic match,DA-1/DA-3
Assets,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,total_assets,PROPOSED,Exact semantic match,DA-1/DA-3
TradePayablesThirdParties,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,trade_payables_third_parties,PROPOSED,Exact semantic match,DA-1/DA-3
ShortTermBankLoans,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,short_term_bank_loans,PROPOSED,Exact semantic match,DA-1/DA-3
CurrentMaturitiesOfBankLoans,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,current_maturities_bank_loans,PROPOSED,Exact semantic match,DA-1/DA-3
CurrentLiabilities,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,current_liabilities,PROPOSED,Exact semantic match,DA-1/DA-3
LongTermBankLoans,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,long_term_bank_loans,PROPOSED,Exact semantic match,DA-1/DA-3
LongTermFinanceLeaseLiabilities,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,long_term_finance_lease_liabilities,PROPOSED,Exact semantic match,DA-1/DA-3
NonCurrentLiabilities,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,non_current_liabilities,PROPOSED,Exact semantic match,DA-1/DA-3
Liabilities,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,total_liabilities,PROPOSED,Exact semantic match,DA-1/DA-3
EquityAttributableToEquityOwnersOfParentEntity,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,equity_parent,PROPOSED,Exact semantic match,DA-1/DA-3
NonControllingInterests,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,non_controlling_interests,PROPOSED,Exact semantic match,DA-1/DA-3
Equity,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,total_equity,PROPOSED,Exact semantic match,DA-1/DA-3
LiabilitiesAndEquity,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,total_liabilities_and_equity,PROPOSED,Exact semantic match,DA-1/DA-3
NetCashFlowsReceivedFromUsedInOperatingActivities,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,cash_flow_operating,PROPOSED,Exact semantic match; duration fact,DA-1/DA-3
NetCashFlowsReceivedFromUsedInInvestingActivities,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,cash_flow_investing,PROPOSED,Exact semantic match; duration fact,DA-1/DA-3
NetCashFlowsReceivedFromUsedInFinancingActivities,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,cash_flow_financing,PROPOSED,Exact semantic match; duration fact,DA-1/DA-3
NetIncreaseDecreaseInCashAndCashEquivalents,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,net_change_cash,PROPOSED,Exact semantic match; duration fact,DA-1/DA-3
CashAndCashEquivalentsCashFlows,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,ending_cash_cash_flow,PROPOSED,Cash flow reconciliation ending cash; distinguish from balance sheet cash,DA-1/DA-3
PaymentsToSuppliersForGoodsAndServices,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,payments_to_suppliers,PROPOSED,Exact semantic match; duration fact,DA-1/DA-3
PaymentsForSalariesAndAllowances,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,payments_for_salaries,PROPOSED,Exact semantic match; duration fact,DA-1/DA-3
InterestsPaidFromOperatingActivities,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,interest_paid_operating,PROPOSED,Exact semantic match; duration fact,DA-1/DA-3
IncomeTaxesRefundedPaidFromOperatingActivities,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,income_taxes_paid_refunded,PROPOSED,Exact semantic match; preserve paid/refunded sign,DA-1/DA-3
ProceedsFromBankLoans,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,proceeds_from_bank_loans,PROPOSED,Exact semantic match; duration fact,DA-1/DA-3
PaymentsOfBankLoans,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,payments_of_bank_loans,PROPOSED,Exact semantic match; duration fact,DA-1/DA-3
DividendsPaidFromFinancingActivities,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,dividends_paid_financing,PROPOSED,Exact semantic match; duration fact,DA-1/DA-3

